shortName,name,category,price,store,ratings,reviews,reviews_nr
RAZER Orochi V2 ,GAMING MOUSE OROCHI V2,PERIFÉRICOS,88.90,Chip7,N/A,[],0
Razer Goliathus,TAPETE P/ RATO GOLIATHUS CHROMA,PERIFÉRICOS,52.90,Chip7,N/A,[],0
Kingston 480GB A400,SSD 2.5 SATA KINGSTON 480GB A400-500R/450W,ARMAZENAMENTO,42.90,Chip7,N/A,[],0
Razer Kraken Kitty,HEADSET RAZER KRAKEN KITTY EDITION QUARTZ,PERIFÉRICOS,119.90,Chip7,N/A,[],0
Logitech M330 SILENT PLUS Wireless Mouse,RATO ÓTICO LOGITECH M330 SILENT PLUS WIRELESS 1000 DPI PRETO,PERIFÉRICOS,46.90,Chip7,N/A,[],0
Intel Core i5-14600KF,"PROCESSADOR INTEL CORE I5-14600KF (14ª GERAÇÃO) ""RAPTOR LAKE REFRESH"" 14-CORE 2.6GHZ C/TURBO 5.3GHZ 24MB CACHE SKT1700",COMPONENTES HARDWARE,325.90,Chip7,N/A,[],0
Intel Core i7-14700K,PROCESSADOR CPU INTEL CORE I7 14700K 3.4 GHZ 20 NÚCLEOS 28 THREADS 33MB CACHE - FCLGA1700 SOCKET - OEM,COMPONENTES HARDWARE,487.90,Chip7,N/A,[],0
Razer Sphex V3,TAPETE P/ RATO SPHEX V3 - LARGE,PERIFÉRICOS,32.90,Chip7,N/A,[],0
ARCTIC Freezer i35 A-RGB,COOLER CPU ARCTIC FREEZER I35 ARGB - 120MM,MODDING/COOLING,35.90,Chip7,N/A,[],0
SteelSeries Rival 3,RATO STEELSERIES RIVAL 3,PERIFÉRICOS,27.90,Chip7,N/A,[],0
SteelSeries Arctis Nova Pro,HEADSET STEELSERIES ARCTIS NOVA PRO XBOX PRETO,PERIFÉRICOS,265.90,Chip7,N/A,[],0
Logitech G903,LOGITECH WIRELESS GAMING MOUSE G903 LIGHTSPEED WITH HERO 16K SENSOR - RATO - DESTROS E CANHOTOS - ÓPTICO - 11 BOTÕES - SEM FIOS; COM CABO - USB; 2.4 GHZ - USB LOGITECH LIGHTSPEED RECEIVER,PERIFÉRICOS,163.90,Chip7,N/A,[],0
UltraGear 32GN650-B,"MONITOR LG ULTRAGEAR 32GN650-B VA 31.5"" QHD 16:9 165HZ FREESYNC",PERIFÉRICOS,277.90,Chip7,N/A,[],0
MSI Gaming GeForce RTX 4060,PLACA GRÁFICA MSI GEFORCE RTX 4060 TI VENTUS 2X BLACK OC 8G DLSS 3,COMPONENTES HARDWARE,415.90,Chip7,N/A,[],0
Corsair RM850e,FONTE DE ALIMENTAÇÃO MODULAR CORSAIR RMX SERIES RM850E 850W 80+ GOLD,COMPONENTES HARDWARE,145.90,Chip7,N/A,[],0
MSI MPG GUNGNIR 110R,CAIXA ATX MSI MPG GUNGNIR 110R BRANCA,COMPONENTES HARDWARE,119.90,Chip7,N/A,[],0
MSI Gaming RTX 4080 Super,GRÁFICA MSI GEFORCE® RTX 4080 SUPER VENTUS 3X OC 16GB GDDR6,COMPONENTES HARDWARE,1152.90,Chip7,N/A,[],0
CORSAIR VENGEANCE RGB DDR5 RAM 32GB,32GB RAM CORSAIR DDR5 KIT (2 X 16GB) 5600MHZ VENGEANCE RGB PRETA,COMPONENTES HARDWARE,146.90,Chip7,N/A,[],0
Thermal Paste,MASSA TERMICA ARCTIC MX-4 4G,MODDING/COOLING,7.90,Chip7,N/A,[],0
ASUS TUF Gaming NVIDIA GeForce RTX 4070 Ti Super,PLACA GRAFICA ASUS TUF RTX 4070 TI SUPER 16GB OC GDDR6X 2X HDMI 3X DP,COMPONENTES HARDWARE,1114.90,Chip7,N/A,[],0
