shortName,name,category,price,store,ratings,reviews,reviews_nr
RAZER Orochi V2 ,RATO RAZER Orochi V2 Mobile Wireless/Bluetooth Gaming 18000DPI,Computer Parts,69.90,Nanochip,N/A,[],0
Razer Goliathus,Tapete RAZER Goliathus Chroma,Computer Parts,38.90,Nanochip,N/A,[],0
Kingston 480GB A400,SSD KINGSTON A400 480GB SATA III – SA400S37/480G,Computer Parts,37.90,Nanochip,N/A,[],0
Razer Kraken Kitty,Headset RAZER Kraken Edição Kitty Quartz,Computer Parts,165.90,Nanochip,N/A,[],0
Logitech M330 SILENT PLUS Wireless Mouse,Rato LOGITECH Wireless M330 Silent Plus Preto,Computer Parts,32.90,Nanochip,N/A,[],0
Intel Core i5-14600KF,Processador INTEL Core i5 14600KF 3.50GHz 24MB Socket 1700 BOX,Computer Parts,322.90,Nanochip,N/A,[],0
Intel Core i7-14700K,Processador INTEL Core i7 14700K 3.40GHz 33MB Socket 1700 BOX,Computer Parts,464.90,Nanochip,N/A,[],0
Razer Sphex V3,TAPETE RAZER Sphex V3 Large,Computer Parts,29.39,Nanochip,N/A,[],0
ARCTIC Freezer i35 A-RGB,Cooler ARCTIC Freezer i35 A-RGB,Computer Parts,45.90,Nanochip,N/A,[],0
SteelSeries Rival 3,Rato STEELSERIES Rival 3 8500DPI Preto,Computer Parts,35.90,Nanochip,N/A,[],0
SteelSeries Arctis Nova Pro,HEADSET STEELSERIES Arctis NOVA Pro Preto,Computer Parts,259.90,Nanochip,N/A,[],0
Logitech G903,Rato LOGITECH G903 Lightspeed Gaming Wireless,Computer Parts,119.90,Nanochip,N/A,[],0
UltraGear 32GN650-B,Monitor LG UltraGear 32GN650-B 1ms IPS 32″ 165Hz QHD FreeSync,Computer Parts,259.90,Nanochip,N/A,[],0
MSI Gaming GeForce RTX 4060,PLACA GRÁFICA MSI GeForce RTX 4060 VENTUS 2X 8G OC DLSS3,Computer Parts,339.90,Nanochip,N/A,[],0
Corsair RM850e,FONTE CORSAIR RM850E 850W 80+ Gold Modular – CP-9020249-EU,Computer Parts,139.90,Nanochip,N/A,[],0
MSI MPG GUNGNIR 110R,Caixa ATX MSI MAG GUNGNIR 110R Vidro Temperado Branco,Computer Parts,116.90,Nanochip,N/A,[],0
MSI Gaming RTX 4080 Super,PLACA GRÁFICA MSI GeForce RTX 4080 SUPER VENTUS 3X OC 16GB GDDR6X,Computer Parts,1159.90,Nanochip,N/A,[],0
CORSAIR VENGEANCE RGB DDR5 RAM 32GB,Corsair Kit 32GB (2x16GB) DDR5 5600MHz Vengeance RGB Black,Computer Parts,122.90,Nanochip,N/A,[],0
Thermal Paste,Pasta Térmica ARCTIC COOLING MX-4 (2019 Edition) 4g C/ Espátula,Computer Parts,8.90,Nanochip,N/A,[],0
ASUS TUF Gaming NVIDIA GeForce RTX 4070 Ti Super,PLACA GRÁFICA ASUS GeForce RTX 4070 Ti SUPER TUF GAMING OC 16GB Branco,Computer Parts,1039.90,Nanochip,N/A,[],0
