shortName,name,category,price,store,ratings,reviews,reviews_nr
RAZER Orochi V2 ,Razer Orochi V2 Rato Sem Fios Gaming 18000DPI Preto,Periféricos,50.81,PC Componentes,4.7,[],122
Razer Goliathus,Razer Goliathus Chroma Tapete RGB Gaming,Periféricos,40.65,PC Componentes,4.7,[],174
Kingston 480GB A400,Kingston A400 SSD 480GB,Componentes de computador,38.78,PC Componentes,4.7,[],23788
Razer Kraken Kitty,Razer Kraken Kitty Edition Headsets Gaming Rosa,Áudio,97.99,PC Componentes,4.5,[],249
Logitech M330 SILENT PLUS Wireless Mouse,Logitech M330 Silent Plus Rato Sem Fios Preto 1000DPI,Periféricos,26.42,PC Componentes,4.6,[],247
Intel Core i5-14600KF,Intel Core i5-14600KF 3.5/5.4GHz Box,Componentes de computador,333.42,PC Componentes,4.7,"['Apesar de ser KF, para quem faz stream, e é gamer, não deixa de ser um ótimo processador! Atualmente com uma 4060TI rodando em perfeitas condições. Consigo estar até com vários jogos abertos! Com 2 monitores o que me ajuda muito na stream.', 'Procesador de primera, excelente calidad y precio, recomiendo la compra', 'Um processador imbatível pelo seu preço e com isso digo tudo', 'O processador funciona muito bem, isso é indiscutível, mas considero-o caro tendo em conta que um 12600k/kf pode ser encontrado hoje, Janeiro de 2024, por menos 100€, (mais ou menos). E para desempenho bruto na vida real (fora os testes sintéticos que são realmente inúteis) não há muita diferença en...', 'É uma opção sólida para aqueles que procuram um equilíbrio entre desempenho e preço na construção do nosso PC. Com uma velocidade base de 3,5 GHz e uma velocidade turbo de até 5,4 GHz, este processador oferece excelente desempenho para uma variedade de tarefas, desde jogos até multitarefa intensiva....', 'Fica mais quente que um cinzeiro de bingo, mas o desempenho é muito bom.', 'Não recebi o processador, apenas a placa-mãe, nenhum número ou e-mail para entrar em contato com o vendedor.', 'Comprei o processador Intel Core i5-14600KF e minha experiência tem sido globalmente positiva. Seu desempenho, com velocidades básicas de 3,5 GHz e 5,4 GHz no modo turbo, é sólido para tarefas diárias e jogos. A eficiência energética, reflectida no seu TDP, é aceitável. O preço está de acordo com as...', 'He adquirido este procesador para sustituir un procesador que tenía de hace unos 6 años que me estaba dando problemas. De momento está funcionando bien y noto que va algo más rápido que el que tenía, aunque esto es normal ya que hay un salto generacional significativo. Aunque el precio es un poco el...', 'E agora o rei do PC que eu construí, não vem com gráfico nem eu quero, é que processador maravilhoso pelo preço que tem, não precisa de mais, com placa-mãe, gráfico, memória ram e o resfriamento líquido eu tenho um PC há vários anos, muito feliz com todas as compras, exceto a pedra do adaptador vga.', 'Desempenho fantástico, fazendo um teste de benchmark com refrigeração líquida com 2 ventoinhas, com 14 núcleos e a 5,4 GHz está em torno de 78 graus, sim, é raro chegar a esse extremo, mas para que você tenha isso em mente.', 'Procesador muy potente sobretodo si es para jugar va sobrado. Lo tengo con una gpu Rtx 4080 super en 2 k y el equilibrio es perfecto sin cuellos de botella.', ""bonjour. C'est un très bon processeur qui réponde à toutes les attentes : sois dans les vidéo jeux, sois en multitâches. Mais rien de vraiment nouveau en comparaison à la 12eme génération. C'est une 13eme génération boosté."", 'Ni se despeina , una bestia de CPU , creo que todavia no lo he visto a 100% jeje , recomendable , quizas podria ser mas barato pero bueno la calidad es lo que tiene', 'El procesador rinde bien a pesar de que no traer el ventilador, en la tienda que lo monte le pusieron uno y se queda corto necesita refrigera potente como liquida o los ventiladores grandes']",113
Intel Core i7-14700K,Intel Core i7-14700K 3.4/5.6GHz Box,Componentes de computador,495.04,PC Componentes,4.8,"['Os processadores da 14 gen. A minha opinião sincesa é a seguinte. 20 ou 24 nucleos em que 8 são os que trabalham e os restantes nucleos são acessorios. Os jogos neste momento só tiram partido de 6 a 8 nucleos o que para já estes processadores são suficientes para os jogos actuais. A tendencia d...', 'A diferença para as gerações anteriores é bastante grande. Tem a vantagem de manter o socket LGA1700', 'Excelentes prestações em edição de vídeo. O upgrade de núcleos faz algum resultado face ao seu antecessor. Para quem construir uma build do 0, vale a pena.', 'Um processador fera, o único de 14ª geração que melhora seu antecessor (13700K) com quatro núcleos mais eficientes. Além disso, sendo de 14ª geração, é compatível com o novo software Intel APO que pode atingir até 30% de desempenho extra. Tem o mesmo defeito da geração anterior de altas temperaturas...', 'Resumido: Está quente, faz com que os dissipadores de calor/refs líquidos trabalhem mais. É poderoso, mas núcleos eficientes são inúteis, especialmente para jogos, eles são inúteis. Se você comparar entre os 13 700k e este, se eles estão com preços parecidos, então talvez este seja melhor, não sei....', 'Duvidei que fosse a opção certa depois de ler alguns comentários negativos sobre consumo e temperatura. Nada poderia estar mais longe da verdade, suponho que esses dados sejam provenientes de colocar seus 20 núcleos na potência máxima. Com uso regular (e um bom ventilador de CPU), o consumo é baixo...', 'Con este procesador voy sobradisimo para gaming y productividad básica, con 8 núcleos de los buenos y 12 de los eficientes (ahora ya puedes dejarte abiertas cien pestañas en el navegador), unas velocidades excelentes y las temperaturas... a ver, es bastante calentito. Con mi liquida de 360 mm no hay...', 'Refeito e tudo, mas é uma fera e a coisa mais importante hoje. Se você vem da 13ª geração não há necessidade de atualizar para isso, mas se você vem da 12ª geração e mais, é uma boa opção atualizar... ou esperar mais um ou dois anos pela 15ª geração. Atende às especificações e o PC funciona muito be...', 'Desempenho impressionante, o único Raptor Lake Refresh que foi salvo de críticas negativas. Seu aumento de núcleos e o pequeno aumento de preço compensam o gasto mesmo que a velocidade não tenha aumentado muito.', 'Uma maravilha. As velocidades de processamento que você alcança são incríveis, os processos do computador voam. Jogando AAA, ao baixar e copiar dados após a formatação, não atingiu 70ºC com os ventiladores em 65% e em nenhum momento os processos foram atrasados. A caixa chegou amassada, mas estava e...', 'Potencia de sobras para cualquier juego actual de 2023 y también muy rápida para cualquier caso habitual en programación. Sin embargo tiene un precio exagerado. Mantiene una buena temperatura en reposo, de 30º, cuando estamos a unos 12º, jugando a Horizon Zero Dawn o StarCitizen sube a unos 60º con ...', 'Venho de um i7 4790K e passar da 4ª geração para a 14ª é brutal. Ele come tudo que você joga nele. Na edição de vídeo ou multitarefa, funciona muito bem, e você sempre pode ajustar as frequências para ganhar alguns Hz. Com gráficos integrados, portanto, se você ficar sem gráficos por qualquer motivo...', 'Excelente opción, es como un i9 de la anterior generación y no se calienta nada he estado jugando a 144 fps 4 horas y se mantiene sin subir de 50º con una ventilación normal, no necesita agua, si no haces OC extremo, con un Noctua lo tengo a 32º navegando y lo mencionado antes, excelentísima opción.', 'Com este processador você não terá dúvidas que ficará aquém por muitos anos, tanto em jogos quanto em produtividade ele é uma verdadeira fera, é o único processador do 14º que realmente fez uma mudança (mais 4 núcleos E) que é perceptível. Eu emparelho-o com um RTX 4090 e tenho GPU e CPU sobrando. M...', 'En mi caso necesito tener muchas ventanas y aplicaciones abiertas al mismo tiempo por trabajo. Este procesador es capaz de gestionarlo sin ralentizarse. Uso refrigeracion liquida y se mantiene estable a 27- 30 grados mientras trabajo. Jugando en algun descanso se ha puesto a 45-50 grados por lo qu...']",101
Razer Sphex V3,Razer Sphex V3 Tapete Large Preto,Periféricos,28.45,PC Componentes,4.3,[],30
ARCTIC Freezer i35 A-RGB,Artic Freezer i35 A-RGB Ventoinha CPU 120mm,Componentes de computador,44.74,PC Componentes,N/A,[],0
SteelSeries Rival 3,Steelseries Rival 3 Rato Ótico Gaming 8500DPI,Periféricos,37.60,PC Componentes,4.6,"['Rato com bom feel e sensibilidade. Tem personalização de luzes RGB sem estar necessário bloatware ativo. Óptimo pelo preço.', 'Rato leve, preciso, movimentos rápidos mas não em demasia. Perfeito', 'Pelo preço, poucos ratos conseguem competir com ele.', 'Rato que pelo seu preço é muito rentável, ao instalar o programa dá-nos a opção de personalizar o rato por diferentes cores e DPI. Junto com a capacidade de gravar clipes com qualidade 1080 no meu caso.', 'Rato muito bom. Ao toque é como se tocássemos num carro mate (um pouco áspero) do qual gosto porque sinto que melhora a aderência. Além disso, é muito confortável e preciso.', 'A melhor compra que consegui fazer, é muito prático e muito manejável e um mouse excepcional para jogos.', 'Bastante recomendable por su calidad precio, un ratón personalizable y cómodo de usar ya sea para trabajar o jugar', 'Llevo usándole bastante tiempo y no me a dado ningún problema.', 'Qualidade - Preço dos melhores que já vi no mercado, muito feliz.', 'De momento todo genial, funciona perfectamente y es super comodo.', 'Bons leds e macros personalizáveis do mouse ergonômico e sensor preciso perfeito se você não quer pegar um trabalho abstrato com a mão e está procurando um bom preço qualidade tempo', 'O produto em si é bom, embora não tanto pelo preço que tem. O movimento e a configuração que tem por software é bom, regulável tanto a sensibilidade quanto os leds, a qualidade das luzes é bastante boa gostei da verdade, o cabo do mouse é feito de plástico, enquanto os demais produtos de aços antigo...', 'O mouse pelo preço que custa é o melhor que existe, esperava algo pior porque acabei de experimentar outros mouses muito mais caros, mas a verdade é que é muito bom. Eu recomendaria se você gosta de mouses um pouco mais largos que o normal, se não, então eu recomendaria mais o mini viper. Mesmo assi...', 'Veio de um Logitech G203 que começou a falhar e eu falei ""vamos tentar outros modelos"". Este é um pouco menor e o formato é um pouco diferente, mas foi o suficiente para não me sentir confortável. Parecia estranho para a minha mão. O cabo também é 30cm mais curto que o G203, o que no meu caso deixou...', 'O mouse com a melhor relação qualidade-preço de acordo com muitas classificações, e agora que o experimentei há vários meses, também acho que sim. A única falha na minha opinião pessoal é que se sua mão for muito grande ou você usar o palm grip completo, o mouse pode ficar um pouco pequeno (eu vim u...']",195
