shortName,name,category,price,store,ratings,reviews,reviews_nr
RAZER Orochi V2 ,Rato Óptico Razer Orochi V2 Mobile Wireless/Bluetooth Gaming 18000DPI Preto,Periféricos,84.90,PC Diga,5.0,['Perfeito.'],1
Razer Goliathus,Tapete Razer Goliathus Chroma,Periféricos,39.90,PC Diga,5.0,"['Boa qualidade', 'Óptima relação preço qualidade.', 'Bom material', 'Excelente! Recomendo ;)', 'Gostei muito.', 'Excelente']",6
Kingston 480GB A400,"SSD 2.5"" Kingston A400 480GB TLC SATA",Armazenamento,41.90,PC Diga,4.9,"['Um produto mais económico que os seus equivalentes; contudo nunca tive nenhuma avaria em discos SSD e tenho muitos.', 'Cumpre com o espectável', 'Excelente marca e preço/qualidade.', 'Excelente...', 'Perfeito para substituir discos mecânicos', 'Bom e rápido', 'Fixe!!!!!!', 'Excelente e bem preço.', 'Recomendado.', 'Boa relação entre a qualidade preço.']",62
Razer Kraken Kitty,Headset Razer Kraken Kitty Edition Quartz,Periféricos,99.90,PC Diga,5.0,"['Gosto imenso do headset. As orelhas são um bocadinho pesadas mas não é nada de especial. A qualidade de som é decente.', 'Recomendo totalmente;dão um som extraordinário e são super confortáveis!O software é fácil de usar e intuitivo. Se tem o dinheiro para comprar;na minha opinião é uma óptima escolha não se vai arrepender! E acima de tudo são muito fofinhos!5 estrelas!', 'Dos melhores headset que já comprei', 'muito bom; adoro!', 'Excelente qualidade; um pouco pesados mas confortáveis.', 'Perfeito!', 'Headset muito bonitos; confortáveis e com um som excelente!', 'Excelente; obrigado', 'Boa qualidade; adoro! vale super a pena mesmo.', 'If you have the money; it’s the headset you will not regret to buy. The quality of the sound is really nice and it doesn’t make your head hurt doesn’t matter for how long you were them. The design is amazing! Thank you (:']",17
Logitech M330 SILENT PLUS Wireless Mouse,Rato Óptico Logitech Wireless M330 Silent Plus Preto,Periféricos,37.90,PC Diga,4.9,"['Muito confortável; silencioso e funciona bem em quase qualquer superfície.', 'Não é mau; mas já parti uma peça de um... Não sei se foi má utilização minha ou fraca qualidade do produto', 'Ótima relação qualidade-preco. O design adapta se muito bem à mão.', 'Produto que corresponde às expectativas', 'Excelente relação qualidade-preço', 'Na minha opinião a Logitech é das melhores marcas em periféricos; este produto está com um preço excelente para a sua qualidade.', 'Muito confortável e silencioso; funciona em praticamente qualquer superfície.', 'Produto silencioso e de extrema qualidade.']",8
Intel Core i5-14600KF,"Processador Intel Core i5-14600KF (14ª Geração) ""Raptor Lake Refresh"" 14-Core 2.6GHz c/Turbo 5.3GHz 24MB Cache Skt1700",Componentes,329.90,PC Diga,N/A,[],0
Intel Core i7-14700K,"Processador Intel Core i7-14700K (14ª Geração) ""Raptor Lake Refresh"" 20-Core 2.5GHz c/Turbo 5.6GHz 33MB Cache Skt1700",Componentes,479.90,PC Diga,N/A,[],0
Razer Sphex V3,Tapete Razer Sphex V3 Large,Periféricos,27.90,PC Diga,N/A,[],0
ARCTIC Freezer i35 A-RGB,Cooler CPU Arctic Freezer i35 A-RGB 120mm,Componentes,40.90,PC Diga,N/A,[],0
SteelSeries Rival 3,Rato Óptico Steelseries Rival 3 8500DPI Preto,Periféricos,24.90,PC Diga,4.7,"['nada a reclamar really unica critica construtiva era aumentar a dimensão dos dois botões laterais pois pessoas com dedos maiores e mãos grandes kinda difficult to get used to but reachable', 'O rato funciona a 100% em tapete gaming ou não. É muito preciso e tem cliques confortáveis. Opções de personalização da iluminação muito variadas.', 'Muito bom; atendeu a todas minhas expectativas!', 'Excelente qualidade!', 'É muito bom', 'Muito bom rato para jogos FPS. Preço qualidade imbatível', 'Uso o rato sem tapete; diretamente em cima da secretária e ele de vez em quando trava. O meu rato antigo não fazia isso; ainda não comprei um tapete; mas deve resolver o problema; ainda assim; é o que me faz dar 3 em vez de 4 na qualidade; de resto por 30 e tal euros é o melhor que se pode arranjar ( salvo alguma promoção de outro modelo ).', 'Design fantástico e performance excelente!', 'Supreende pela qualidade de construção comparativamente a periférico de outras marcas na mesma faixa de preço.', 'Design Simples e perfeito para videojogos e trabalhos no geral']",18
SteelSeries Arctis Nova Pro,Headset Steelseries Arctis Nova Pro Gaming Preto,Periféricos,279.90,PC Diga,5.0,['Muito bons; superou expectativa'],1
Logitech G903,Rato Óptico Logitech G903 LightSpeed RGB Wireless 25600DPI,Periféricos,129.90,PC Diga,5.0,"['Excelente!!', 'Rato espetacular! Tem todos os requerimentos que eu sempre desejei; satisfeito com a compra.', 'É incrível. Consegui uma promoção na PCDiga e tem sido o melhor rato que usei até hoje. Excelente para jogar e para uso normal; bateria com excelente duração. E por ser ambidestro adapta-se muito bem à mão esquerda.', 'Troquei pela ryzen foi a mulher troca que eu já fiz', 'Bom rato mm', ""Quite simply the best mouse I've ever used. Comfortable; responsive; and the battery is simply ridiculous; I leave it for days and whenever I remember it has a battery it's still not even halfway through it."", 'Qualidade preço foi top mas estava em promoção do Black Friday. Valeu a pena!!!', 'O rato é fantástico; conforto é uma questão de hábito inicial por ser um formato menos vulgar. A bateria até ao momento ainda é a carga inicial que já trazia ; cerca de 10 dias de uso sem carregar ainda. Recomendo vivamente é uma excelente experiência. Qualidade do material é muito boa']",8
UltraGear 32GN650-B,"Monitor LG UltraGear 32GN650-B VA 31.5"" QHD 16:9 165Hz FreeSync Premium",Imagem e Som,259.90,PC Diga,2.0,['Este monitor tem dois graves problemas; que só reparei depois de comprar. O primeiro é o LCD ser do tipo VA; que aliado a um monitor relativamente barato trás um chocante arrasto (ghosting) nos pretos... a um nível que nunca tinha visto. O segundo problema nota-se logo ao ligar o monitor: o difusor de luz (que difunde a luz branca atrás do LCD) está a cerca de 5mm do LCD propriamento dito. Por causa disso; as partes laterais do ecrã (e da imagem) podem não ser iluminadas se uma pessoa estiver perto do ecrã (nota-se bem a 50cm). Muito mal; LG.'],1
MSI Gaming GeForce RTX 4060,Placa Gráfica MSI GeForce RTX 4060 Ventus 2X Black 8G OC DLSS3,Componentes,324.90,PC Diga,N/A,[],0
Corsair RM850e,Fonte de Alimentação ATX Corsair RMe Series RM850e 850W 80 Plus Gold Full Modular,Componentes,146.90,PC Diga,N/A,[],0
MSI MPG GUNGNIR 110R,Caixa ATX MSI MPG GUNGNIR 110R,Componentes,109.90,PC Diga,4.6,"['Gostei bastante do design dela', 'Comprado para o meu filho. Está todo contente com o ARGB :) Funcional; fácil de montar os componentes e tem bastante espaço.', 'Caixa Muito boa; e simples para ligar os LEDs; boa opção para quem monta a primeira máquina.', 'Exatamente igual à descrição/imagem. Recomendo', 'Excelente caixa com 4 ventoinhas (RGB) para uma boa ventilação; entrada frontal USB Type-C; rede magnética anti-poeiras; qualidade MSI e comprei com a possibilidade de ser reembolsado pela MSI na promoção MSI Back to School; estou muito contente até ao momento a melhor caixa que já tive. Recomendo.', 'Além de um design muito elegante; é uma caixa com excelente airflow. Escolhi esta caixa porque possuo outros produtos da marca e nunca desiludiram; muito pelo contrário. O produto superou as expectativas; do design até à facilidade na organização da cablagem. É um caixa de extrema qualidade; aconselho vivamente', 'Apoio tecnico muito fraco caixa vem sem filtro de poeira em cima tou tou a quase a 1 mes a espera de uma resposta', 'É um caixa com muita qualidade a um preço acessivel. Apresenta um design muito elegante; tendo vidro temperado tanto no painel lateral como no painel frontal. Vêm incluida na caixa 4 ventoinhas ARGB que são muito silenciosas. Como extra a caixa tambem inclui um controlador ARGB com 6 conetores onde se podem ligar qualquer producto com RGB; algo muito util para utilizadores que pussem uma motherboard com pouco headers RGB. Em relação a caixa; é muito espaçosa; apresenta muito espaço para arrumar os fios; e no painel frontal tem um porta usb tipo C; algo que eu necessitava. Estou muito contente com esta compra.', 'Excelente produto. Design apelativo; boa qualidade de construção; cablagem pré-ligada e organizada dentro da caixa. Muto boa relação preço-qualidade.']",9
MSI Gaming RTX 4080 Super,Placa Gráfica MSI GeForce RTX 4080 Super Ventus 3X OC 16GB GDDR6X DLSS3,Componentes,1169.90,PC Diga,N/A,[],0
