name,category,price,store,ratings,reviews,reviews_nr
Desktop VIST Pc Gaming Ryzen 5 3600 Ram 32Gb Rx 580 Ssd 1Tb M.2 Lcd 24 Windows 11 Pro,Computadores Desktop,"€768,90",Worten,N/A,[],N/A
Desktop VIST Pc Gaming Ryzen 5 3600 Ram 16Gb Rx 580 Ssd 1Tb M.2 Windows 11 Pro,Computadores Desktop,"€557,90",Worten,N/A,[],N/A
Desktop VIST Pc Gaming Ryzen 5 3600 Ram 32Gb Rtx 3050 Ssd 1Tb M.2 Windows 11 Pro,Computadores Desktop,"€771,90",Worten,N/A,[],N/A
Desktop VIST Pc Gaming Ryzen 5 3600 Ram 16Gb Rx 580 Ssd 1Tb M.2 Lcd 24 Windows 11 Pro,Computadores Desktop,"€725,90",Worten,N/A,[],N/A
Desktop VIST Kit Gaming Ryzen 5 3600 Ram 64Gb Rx 6600 Ssd 1Tb M.2 Lcd 24 Windows 11 Pro,Computadores Desktop,"€1014,90",Worten,N/A,[],N/A
Desktop VIST (AMD Ryzen 5 3600 - RAM: 16 GB - SSD 1TB - AMD Radeon RX 580),Computadores Desktop,"€576,90",Worten,N/A,[],N/A
Desktop VIST (AMD Ryzen 5 3600 - RAM: 16 GB - SSD 1TB - Nvidia GeForce RTX 3050),Computadores Desktop,"€737,90",Worten,5,[],1
Desktop VIST Kit Gaming Ryzen 5 3600 Ram 32Gb Rx 6600 Ssd 1Tb M.2 Lcd 24 Windows 11 Pro,Computadores Desktop,"€886,90",Worten,N/A,[],N/A
Desktop VIST Pc Gaming Ryzen 5 3600 Ram 64Gb Rx 6600 Ssd 1Tb M.2 Windows 11 Pro,Computadores Desktop,"€824,90",Worten,N/A,[],N/A
Desktop VIST Pc Gaming Ryzen 5 3600 Ram 32Gb Rx 580 Ssd 1Tb M.2 Windows 11 Pro,Computadores Desktop,"€600,90",Worten,N/A,[],N/A
Desktop VIST Pc Gaming Ryzen 5 3600 Ram 16Gb Rtx 3050 Ssd 1Tb M.2 Lcd 24 Windows 11 Pro,Computadores Desktop,"€892,90",Worten,N/A,[],N/A
Desktop VIST (AMD Ryzen 5 3600 - RAM: 16 GB - SSD 512GB - Nvidia GeForce GTX 1650),Computadores Desktop,"€597,90",Worten,N/A,[],N/A
Processador AMD Ryzen 5 3600 (Socket AM4 - Hexa-Core - 3.6 GHz),Processadores AMD,"€99,12",Worten,4.9,[],8
Desktop VIST (AMD Ryzen 5 3600 - RAM: 16 GB - SSD 1TB - Nvidia GeForce GTX 1660 SUPER),Computadores Desktop,"€704,90",Worten,N/A,[],N/A
Pc Gaming Ryzen 5 3600 Ram 16Gb Nvidia Geforce Rtx 3050 Ssd 1Tb M.2 W11,Computadores Desktop,"€730,90",Worten,N/A,[],N/A
Desktop VIST (AMD Ryzen 5 3600 - RAM: 32 GB - SSD 1TB - AMD Radeon RX 580),Computadores Desktop,"€790,90",Worten,N/A,[],N/A
Desktop VIST Pc Gaming Ryzen 5 3600 Ram 16Gb Rtx 3050 Ssd 1Tb M.2 Windows 11 Pro,Computadores Desktop,"€727,90",Worten,N/A,[],N/A
Desktop Gaming VIST Pba Ryzen 5 3600 Ram 32Gb Rtx 3050 Ssd 1Tb M.2 Windows 11 Pro,Desktops Gaming Principiante,"€736,90",Worten,N/A,[],N/A
Desktop VIST (AMD Ryzen 5 3600 - RAM: 16 GB - SSD 1TB - AMD Radeon RX 580),Computadores Desktop,"€746,90",Worten,N/A,[],N/A
Desktop VIST (AMD Ryzen 5 3600 - RAM: 32 GB - SSD 1TB - Nvidia GeForce RTX 3050),Computadores Desktop,"€962,90",Worten,N/A,[],N/A
